Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,260,1,8.446468782159355
KatsuuraEvaluation,cross_interval,tune,260,2,9.199334543109023
KatsuuraEvaluation,cross_interval,tune,260,3,9.167128016866847
KatsuuraEvaluation,cross_interval,tune,260,4,9.626461423932843
KatsuuraEvaluation,cross_interval,tune,260,5,8.230598985070856
KatsuuraEvaluation,cross_interval,tune,260,6,8.00344517838344
KatsuuraEvaluation,cross_interval,tune,260,7,9.11838666489659
KatsuuraEvaluation,cross_interval,tune,260,8,9.434210299866862
KatsuuraEvaluation,cross_interval,tune,260,9,8.971299389311312
KatsuuraEvaluation,cross_interval,tune,260,10,8.171600621500945
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,270,1,8.7451636076934
KatsuuraEvaluation,cross_interval,tune,270,2,8.89691117820429
KatsuuraEvaluation,cross_interval,tune,270,3,8.786195524253824
KatsuuraEvaluation,cross_interval,tune,270,4,9.389117039951472
KatsuuraEvaluation,cross_interval,tune,270,5,9.137757393193187
KatsuuraEvaluation,cross_interval,tune,270,6,8.91011825760837
KatsuuraEvaluation,cross_interval,tune,270,7,9.253982785123204
KatsuuraEvaluation,cross_interval,tune,270,8,9.434187476871998
KatsuuraEvaluation,cross_interval,tune,270,9,8.917077325571702
KatsuuraEvaluation,cross_interval,tune,270,10,9.305628928421166
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,280,1,9.32777113350744
KatsuuraEvaluation,cross_interval,tune,280,2,8.633294729463342
KatsuuraEvaluation,cross_interval,tune,280,3,9.322871490483163
KatsuuraEvaluation,cross_interval,tune,280,4,9.389124316647283
KatsuuraEvaluation,cross_interval,tune,280,5,8.166297871402836
KatsuuraEvaluation,cross_interval,tune,280,6,9.572467528022996
KatsuuraEvaluation,cross_interval,tune,280,7,8.92132480057012
KatsuuraEvaluation,cross_interval,tune,280,8,9.434172213165063
KatsuuraEvaluation,cross_interval,tune,280,9,9.413474988134663
KatsuuraEvaluation,cross_interval,tune,280,10,8.766525209073055
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,290,1,8.934550791189615
KatsuuraEvaluation,cross_interval,tune,290,2,9.308205503360217
KatsuuraEvaluation,cross_interval,tune,290,3,9.459219101523983
KatsuuraEvaluation,cross_interval,tune,290,4,9.389126419008164
KatsuuraEvaluation,cross_interval,tune,290,5,9.262135250461888
KatsuuraEvaluation,cross_interval,tune,290,6,8.688363400101798
KatsuuraEvaluation,cross_interval,tune,290,7,9.069920951436409
KatsuuraEvaluation,cross_interval,tune,290,8,9.434167380643732
KatsuuraEvaluation,cross_interval,tune,290,9,9.076522852721121
KatsuuraEvaluation,cross_interval,tune,290,10,8.78910391264958
Function,Parameter name,Parameter type,Parameter tune value,Seed,score
KatsuuraEvaluation,cross_interval,tune,300,1,9.040613524054773
